schema_version,campaign_id,stage_mode,attempt_id,sample_seq,abs_b_deg,abs_c_deg,persistent_correction_enabled,tcpc_enabled,twp_active,twp_motion_enabled,twp_valid,b_ssi_invalid,c_ssi_invalid,motion_tooloffset_z_mm,halui_tool_length_offset_z_mm,kins_active_tool_offset_z_mm,joint_b_cmd_deg,joint_b_fb_deg,joint_c_cmd_deg,joint_c_fb_deg,b_ssi_zeroed_deg,c_ssi_zeroed_deg,accepted_endpoint_abs_x_mm,accepted_endpoint_abs_y_mm,accepted_endpoint_abs_z_mm,joint_0_motor_pos_cmd_mm,joint_0_motor_pos_fb_mm,joint_0_motor_following_error_fb_minus_cmd_mm,joint_1_motor_pos_cmd_mm,joint_1_motor_pos_fb_mm,joint_1_motor_following_error_fb_minus_cmd_mm,joint_2_motor_pos_cmd_mm,joint_2_motor_pos_fb_mm,joint_2_motor_following_error_fb_minus_cmd_mm
1.0,2026082404.000000,26.000000,2.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,0.000000,-0.000023,-360.000010,0.000023,1025.041401,844.083480,-279.617455,0.030064,0.030064,0.000000,0.025680,0.025680,0.000000,0.038545,0.038545,0.000000
1.0,2026082404.000000,26.000000,2.000000,2.000000,0.000000,45.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,45.000000,44.999977,-360.000010,-45.000320,1025.102174,844.054945,-279.616122,-18.988575,-18.988575,0.000000,-7.356329,-7.356329,0.000000,0.044864,0.044864,0.000000
1.0,2026082404.000000,26.000000,2.000000,3.000000,0.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,90.000000,89.999977,-360.000010,-89.999977,1025.152859,844.039878,-279.619789,-27.223813,-27.223813,0.000000,-26.019847,-26.019847,0.000000,0.053243,0.053243,0.000000
1.0,2026082404.000000,26.000000,2.000000,4.000000,0.000000,135.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,135.000000,134.999977,-360.000010,-134.999977,1025.173807,844.058551,-279.611789,-19.841517,-19.841517,0.000000,-45.020591,-45.020591,0.000000,0.073294,0.073294,0.000000
1.0,2026082404.000000,26.000000,2.000000,5.000000,0.000000,180.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,180.000000,179.999290,-360.000010,-179.999290,1025.227378,844.096514,-279.611289,-1.091506,-1.091506,0.000000,-53.231695,-53.231695,0.000000,0.078790,0.078789,0.000000
1.0,2026082404.000000,26.000000,2.000000,6.000000,0.000000,225.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,225.000000,224.999977,-360.000010,-224.999977,1025.170533,844.146910,-279.609123,17.931061,17.931061,0.000000,-45.827825,-45.827825,0.000000,0.075970,0.075970,0.000000
1.0,2026082404.000000,26.000000,2.000000,7.000000,0.000000,270.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,270.000000,270.001350,-360.000010,-270.001693,1025.130527,844.118893,-279.611121,26.176978,26.176978,0.000000,-27.207391,-27.207391,0.000000,0.061925,0.061925,0.000000
1.0,2026082404.000000,26.000000,2.000000,8.000000,0.000000,315.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,315.000000,314.999977,-360.000010,-314.999977,1025.056549,844.126378,-279.613122,18.741652,18.741652,0.000000,-8.180489,-8.180489,0.000000,0.047874,0.047874,0.000000
1.0,2026082404.000000,26.000000,2.000000,9.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,0.000000,-0.000023,-360.000010,0.000023,1025.040836,844.072691,-279.618455,0.029499,0.029499,0.000000,0.014892,0.014892,0.000000,0.037545,0.037545,0.000000
1.0,2026082404.000000,26.000000,2.000000,10.000000,5.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,4.999799,0.000000,-0.000023,-354.999858,0.000023,1027.074372,844.058985,-279.686451,37.709472,37.709472,0.000000,-0.025305,-0.025305,0.000000,-1.646900,-1.646900,0.000000
1.0,2026082404.000000,26.000000,2.000000,11.000000,5.000000,45.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,5.000142,45.000000,44.999977,-354.999858,-44.999977,1026.518905,845.430231,-279.693095,7.647182,7.647182,0.000000,19.175068,19.175068,0.000000,-1.656426,-1.656426,0.000000
1.0,2026082404.000000,26.000000,2.000000,12.000000,5.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,4.999799,90.000000,89.999633,-355.000201,-89.999633,1025.155389,846.045491,-279.698956,-27.205270,-27.205270,0.000000,11.581757,11.581757,0.000000,-1.654482,-1.654482,0.000000
1.0,2026082404.000000,26.000000,2.000000,13.000000,5.000000,180.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,5.000142,180.000000,179.999633,-354.999858,-179.999633,1023.193326,844.103642,-279.700467,-38.775682,-38.775682,0.000000,-53.229877,-53.229877,0.000000,-1.629806,-1.629806,0.000000
1.0,2026082404.000000,26.000000,2.000000,14.000000,5.000000,225.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,5.000142,225.000000,224.999977,-355.000201,-224.999977,1023.728966,842.723186,-279.700601,-8.738522,-8.738522,0.000000,-72.430266,-72.430266,0.000000,-1.627445,-1.627445,0.000000
1.0,2026082404.000000,26.000000,2.000000,15.000000,5.000000,270.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,4.999799,270.000000,269.999633,-355.000201,-269.999633,1025.150037,842.135353,-279.694771,26.166171,26.166171,0.000000,-64.800320,-64.800320,0.000000,-1.629805,-1.629805,0.000000
1.0,2026082404.000000,26.000000,2.000000,16.000000,5.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,5.000000,5.000142,0.000000,-0.000023,-355.000201,0.000023,1027.074460,844.081382,-279.687046,37.709560,37.709561,0.000000,-0.002909,-0.002908,0.000000,-1.647495,-1.647495,0.000000
1.0,2026082404.000000,26.000000,2.000000,17.000000,-5.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,-5.000000,-5.000163,0.000000,-0.000023,-365.000163,-0.000320,1023.198342,844.079578,-279.713638,-37.462024,-37.462024,0.000000,0.043476,0.043476,0.000000,-1.550360,-1.550360,0.000000
1.0,2026082404.000000,26.000000,2.000000,18.000000,-5.000000,45.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,-5.000000,-4.999820,45.000000,44.999977,-365.000163,-44.999977,1023.805325,842.730614,-279.708120,-45.505954,-45.505954,0.000000,-33.842137,-33.842137,0.000000,-1.531959,-1.531959,0.000000
1.0,2026082404.000000,26.000000,2.000000,19.000000,-5.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,-5.000000,-5.000163,90.000000,89.999977,-365.000163,-89.999977,1025.166019,842.196204,-279.704443,-27.228482,-27.228482,0.000000,-63.465826,-63.465826,0.000000,-1.511691,-1.511691,0.000000
1.0,2026082404.000000,26.000000,2.000000,20.000000,-5.000000,180.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,-5.000000,-5.000163,180.000000,180.000320,-364.999820,-180.000320,1027.046174,844.080876,-279.683602,36.373180,36.373180,0.000000,-53.243359,-53.243359,0.000000,-1.482838,-1.482838,0.000000
1.0,2026082404.000000,26.000000,2.000000,21.000000,-5.000000,225.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,-5.000000,-5.000163,225.000000,224.999977,-365.000163,-225.000320,1026.508467,845.415299,-279.687231,44.490734,44.490734,0.000000,-19.387350,-19.387350,0.000000,-1.498404,-1.498404,0.000000
